"external_gene_name","entrezgene_id","transcript_biotype"
"Tiam1",21844,"protein_coding"
"Myoz3",170947,"protein_coding"
"Synpo",104027,"protein_coding"
"Zdhhc24",70605,"protein_coding"
"Ndst1",15531,"protein_coding"
"Mamdc2",71738,"protein_coding"
"Rps14",20044,"protein_coding"
"Cfap95",67483,"protein_coding"
"Ptar1",72351,"protein_coding"
"Bbs1",52028,"protein_coding"
"Dtna",13527,"protein_coding"
"Sod1",20655,"protein_coding"
"Scaf4",224432,"protein_coding"
"Apba1",319924,"protein_coding"
"Entrep1",381217,"protein_coding"
"Dpp3",75221,"protein_coding"
"Hunk",26559,"protein_coding"
"Mis18a",66578,"protein_coding"
"Cd74",16149,"protein_coding"
"Mrap",77037,"protein_coding"
"Urb1",207932,"protein_coding"
"Tjp2",21873,"protein_coding"
"Mapre2",212307,"protein_coding"
"Myh11",17880,"protein_coding"
"Zfp397",69256,"protein_coding"
"Zfp35",22694,"protein_coding"
"Zfp24",59057,"protein_coding"
"Peli3",240518,"protein_coding"
"Ino80c",225280,"protein_coding"
"Fxn",14297,"protein_coding"
"Tcof1",21453,"protein_coding"
"Mrpl11",66419,"protein_coding"
"Npas4",225872,"protein_coding"
"Pip5k1b",18719,"protein_coding"
"Fam122a",68034,"protein_coding"
"Tmem252",226040,"protein_coding"
"Pgm5",226041,"protein_coding"
"Arsi",545260,"protein_coding"
"Gm10053",NA,"protein_coding"
"Lratd1",105005,"protein_coding"
"Galnt1",14423,"protein_coding"
"Foxd4",14237,"protein_coding"
"Cep20",66086,"protein_coding"
"Nrap",18175,"protein_coding"
"Eva1c",70967,"protein_coding"
"Gpr50",14765,"protein_coding"
"Trib2",217410,"protein_coding"
"Slc16a2",20502,"protein_coding"
"2700062C07Rik",68046,"protein_coding"
"Heatr5a",320487,"protein_coding"
"Gm10488",100042109,"protein_coding"
"Rprd1a",225283,"protein_coding"
"Slc39a6",106957,"protein_coding"
"Cfap298",68001,"protein_coding"
"Vma21",67048,"protein_coding"
"Gm14632",100042144,"protein_coding"
"Igsf11",207683,"protein_coding"
"Camk2a",12322,"protein_coding"
"1700029F12Rik",66479,"protein_coding"
"Cntnap3",238680,"protein_coding"
"Htr2c",15560,"protein_coding"
"Lsamp",268890,"protein_coding"
"Ofcc1",218165,"protein_coding"
"Dtd2",328092,"protein_coding"
"Rlim",19820,"protein_coding"
"Gpr33",14762,"protein_coding"
"Vrtn",432677,"protein_coding"
"Fam169a",320557,"protein_coding"
"Gap43",14432,"protein_coding"
"Gm1141",NA,"protein_coding"
"Efcab1",66793,"protein_coding"
"Spata31",78124,"protein_coding"
"Gm10487",100039467,"protein_coding"
"Slc6a7",240332,"protein_coding"
"Btbd35f29",100862067,"protein_coding"
"Prrg3",208748,"protein_coding"
"Gm6169",NA,"protein_coding"
"Syndig1l",627191,"protein_coding"
"Spata31d1c",238683,"protein_coding"
"Spin2f",108168466,"protein_coding"
"Nsa2",59050,"protein_coding"
"Gm21897",NA,"protein_coding"
"Nexmif",245555,"protein_coding"
"Cdx1",12590,"protein_coding"
"Nubpl",76826,"protein_coding"
"Elp2",58523,"protein_coding"
"Prss47",218304,"protein_coding"
"Synj1",104015,"protein_coding"
"Btbd35f26",100040458,"protein_coding"
"Mfsd14b",66631,"protein_coding"
"Btbd35f19",100040448,"protein_coding"
"Spin2e",546176,"protein_coding"
"Spin2e",100862088,"protein_coding"
"Spin2e",100862118,"protein_coding"
"Fate1",NA,"protein_coding"
"Slc29a2",13340,"protein_coding"
"Btbd35f25",100862274,"protein_coding"
"Gm21637",74851,"protein_coding"
"Gm21637",100862314,"protein_coding"
"Btbd35f22",100862323,"protein_coding"
"Il13ra2",16165,"protein_coding"
"Npc2",67963,"protein_coding"
"Or14p1",NA,"protein_coding"
"Isca2",74316,"protein_coding"
"Or9s18",258816,"protein_coding"
"Tfap2a",21418,"protein_coding"
"Arhgap5",11855,"protein_coding"
"Cnga2",12789,"protein_coding"
"Btbd35f2",100040482,"protein_coding"
"Magea4",17140,"protein_coding"
"Btbd35f1",71847,"protein_coding"
"B4gat1",108902,"protein_coding"
"Abcb7",11306,"protein_coding"
"Mocos",68591,"protein_coding"
"Cbwd1",226043,"protein_coding"
"Akap6",238161,"protein_coding"
"Pspc1",66645,"protein_coding"
"Pdgfrb",18596,"protein_coding"
"Ube2v2",70620,"protein_coding"
"Nlrp4f",97895,"protein_coding"
"Gm5926",546205,"protein_coding"
"Gm5926",100040585,"protein_coding"
"Gm5926",100862179,"protein_coding"
"Btbd35f21",100862329,"protein_coding"
"Casp7",12369,"protein_coding"
"Uprt",331487,"protein_coding"
"Npas3",27386,"protein_coding"
"Gabre",14404,"protein_coding"
"Dach1",13134,"protein_coding"
"Brms1",107392,"protein_coding"
"Mcm4",17217,"protein_coding"
"Btbd35f5",100040533,"protein_coding"
"Btbd35f12",100040606,"protein_coding"
"Magea10",236852,"protein_coding"
"Gm10775",NA,"protein_coding"
"Gcnt2",14538,"protein_coding"
"Egln3",112407,"protein_coding"
"Btbd35f15",100040698,"protein_coding"
"Dock8",76088,"protein_coding"
"Zdhhc15",108672,"protein_coding"
"Sptssa",104725,"protein_coding"
"Csf1r",12978,"protein_coding"
"Paxbp1",67367,"protein_coding"
"Ltbp2",16997,"protein_coding"
"Btbd35f13",100040722,"protein_coding"
"Btbd35f14",100040732,"protein_coding"
"Zfp369",170936,"protein_coding"
"Magee2",272790,"protein_coding"
"Btbd35f6",100040781,"protein_coding"
"Btbd35f9",100862369,"protein_coding"
"Rpl36a-ps1",NA,"protein_coding"
"Spin2g",108168468,"protein_coding"
