Genes	baseMean	log2FoldChange	pvalue	padj	Cluster	is.TF	Phenotype
6330403K07Rik	2247.94288587687	6.23783348877942	7.90855091699771e-212	5.35297785208357e-210	a	-	-
6430548M08Rik	211.87655302154	5.63374730659092	1.74117313032909e-96	2.87794307515545e-95	a	-	-
8030474K03Rik	102.528963708751	-0.958616197532772	2.44326501754317e-06	4.10258134160503e-06	e	-	-
9030624G23Rik	104.19506937314	-0.648510231742856	0.00542473630075932	0.00723828450687827	d	Yes	-
9130008F23Rik	9.28065998718001	-1.0653067404842	0.00690264109203305	0.00913806361331135	e	-	-
9130401M01Rik	861.693264304577	-1.02570001227973	4.38243133409058e-31	1.9193643115616e-30	e	-	-
9330159F19Rik	25.2424497978875	7.98221413580769	1.34455309482163e-06	2.29414371803941e-06	b	-	-
9430015G10Rik	374.129363842394	0.607179075116256	0.00336977353225315	0.00457799539340687	c	-	-
9430038I01Rik	243.711520781752	-1.06980631720205	3.16328642067394e-30	1.35039435941202e-29	e	-	-
9530068E07Rik	4692.85135541901	2.65260773547191	1.21060173665391e-98	2.06343979671083e-97	b	-	-
9930012K11Rik	58.80349480793	-0.886881136447371	0.00589065673662254	0.00784144310003065	e	-	-
A130010J15Rik	302.031483984604	0.532580701007802	3.42203925428781e-05	5.3480586761983e-05	a	-	-
