"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"Samd14",0.86,0.63,0.39,0.34,1.28,82.33,49.88,81.03,64.83,91.08,68.49,101.41,92.54
"Irs3",0.19,0.06,0.54,0.36,0.11,0.19,0.13,0.12,0.17,0.06,0.13,0.14,0.1
"Rab2a",53.72,49.78,52.06,60.78,96.29,110.79,100.23,114.2,120.3,137.72,120.52,135.2,127.81
"Dync2h1",0.55,1.61,1.91,2.22,5.08,4.44,6.11,4.53,7.03,4.25,5.09,3.81,4.46
"Gjd3",0.3,0.18,0.16,0.14,0.21,0.82,0.29,0.88,1.24,1.24,0.35,1.98,2.55
"Dusp18",1.35,1.62,1.8,1.5,3.66,20.14,13.14,18.1,12.71,18.44,12.06,19.76,15.26
"Ythdf3",17.69,31.24,27.76,31.98,40.18,55.94,49.56,46.22,51.25,62.6,44.27,52.09,48.5
"Rpl9",1449.8,1765.67,1738.69,2123.76,2458.96,1623.4,2038.39,1539.28,2051.9,1772.03,1629.91,1420.12,1677.51
"Cdh19",0,0,0,0,0,0.18,0,0.73,0.21,0.53,0.07,0.32,0.03
"Iho1",0.4,0.94,6.48,4.41,0.81,2.36,2.45,2.05,1.69,2.42,1.63,1.82,1.5
"Fam185a",9.86,9.99,15.95,14.12,9.38,2.36,1.34,1.89,2.01,2.92,2.2,4.41,2.85
"Gm527",3.24,2.47,2.72,2.5,4.12,22.53,14.51,16.82,18.53,21.47,18.94,18.91,16.04
"A2ml1",0,0,0.29,0.08,0,0,0,0,0,0,0.33,0,0
"Cldn2",0,0.2,0.25,0.37,0,0.28,0,0.24,0,0.31,0.09,2.53,0.55
"Fbxw21",0,0,0,0.07,0,0,0,0,0,0.51,0,0,0
"Mageh1",6.82,7.65,16.4,11.49,12.9,64.95,49.8,79.76,80.93,80.37,54.36,73.11,60.03
"Taf9b",2.63,1.96,2.07,1.58,0.16,8.7,5.45,11.55,8.49,13.29,8.25,11.22,7.94
"H2bc6",0.1,0.12,0.45,0.48,2.19,1.09,3.9,2.7,2.57,1.38,3.67,1.1,1.52
"C2cd3",8.98,14.29,13.87,9.08,13.93,46.71,31.21,26.8,27.4,25.53,19.48,23.7,21.85
"Ptgs1",0.08,0.05,0.13,0.04,30.66,3.08,3.19,2.2,6.93,5.59,8.69,15.17,13.44
"Prss45",0.33,0.48,0.76,0.98,0,0,0,0,0,0,0,0,0
"Mc4r",0,0,0.06,0,0.06,0.39,0.42,0.26,0.3,0.98,0.66,1.55,0.69
"Emc6",109.02,99.47,158.25,107.37,68.04,95.56,59.35,55.19,52.75,64.45,47.83,98.29,73.98
"Gap43",0.22,0.91,5.67,6.24,8.64,18.95,13.87,27.85,15.41,64.18,34.04,91.26,54.91
"Zfp358",5.4,6.2,11.26,7.05,23.73,89.89,52.73,74.03,63.34,84.76,49.14,94.44,77.44
"Sfn",69.94,51.01,17.92,22.26,12.46,1.19,1.09,1.26,1.26,1.57,1.23,2.64,4.31
"Neurl4",25.14,25.77,35.25,25.21,29.92,51.37,39.09,47.91,42.25,60.45,38.32,55.55,56.66
"Gpr15",0,0,0,0,0,0.05,0,0.18,0,0.05,0.04,0,0
"Smgc",0,0.21,0,0,0,0,0,0,0,0,0,0,0
"Kcnv2",0,0.01,0.25,0.2,0,0.07,0.16,0.1,0.12,0.14,0.13,0.06,0.07
"Pcdhb13",0,0,0,0,0,0.33,0.31,0.76,0.61,0.98,0.76,0.83,0.83
"4931429P17Rik",0,0,0,0,0,0.04,0,0,0,0,0,0,0
"Kcne4",0,0,0,0,0,1.84,0.61,3.47,2.04,4.25,3.11,3.63,3.9
"Zfp286",6.25,4.93,2.25,2.81,3.66,18.79,14.4,20.62,19.94,21.63,16.85,18.77,19.11
"Mettl21c",0,0,0,0,0,0.2,0.02,0.49,0.74,0.62,0.28,0.38,0.1
"Lancl3",0.04,0.22,0.77,0.72,0.08,0.04,0.11,0.31,0.28,0.27,0.31,0.53,0.48
"Tdg-ps",0,0,0.16,0.21,0.29,0.25,0.36,0.32,0.35,0.23,0.51,0.28,0
"Gm973",0.64,0.16,3.69,1.55,1.07,0.09,0.88,1.43,0.13,0.67,0.48,0.93,0.14
"Cstad",0,0,0.08,0.07,0,0.94,0.7,2.2,1.27,1.76,0.91,2.03,2.6
"Abhd17b",16.27,22.78,15.99,19.67,22.13,27.21,15.61,14.2,15,21.6,14.4,23.69,18.1
"Dnah14",0.01,0.07,0.03,0.04,0.74,0.08,0,0,0,0,0.03,0.14,0
"Zfp768",0.82,1.75,3.59,2.48,11.97,42.62,36.8,42.87,49.35,42.21,38.71,44.31,50.35
"B4gat1",6.05,6.38,11.52,10.2,9.1,37.69,29.6,36.12,38.09,45.21,38.1,51.77,54.48
"A730013G03Rik",0,0,0.09,0.08,0.12,0.11,0.11,0.25,0.14,0.05,0,0.22,0.17
"Atmin",36.62,48.11,27.94,22.26,11.47,20.53,12.04,14.72,13.38,18.29,11.02,19.47,15.13
"Cimap1b",0.14,0.12,1.11,0.33,0.34,0,0.19,0,0.79,0,0.11,0,0
"Tgif1",148.88,206.51,142.13,131.46,136.32,56.64,64.23,58.21,63.95,60.73,48.14,61.4,60.71
"Ctdspl",0.62,1.34,2.61,2.89,1.31,11.93,10.97,10.45,13.33,14.08,14.78,19.24,15.76
"Zbtb44",33.79,51.95,9.47,8.65,9.9,13.7,13.73,12.85,16.05,12.94,16.03,13,10.39
"Flrt2",1.29,1.47,0.54,0.35,0.4,60.66,44.99,38.61,45.62,50.75,86.69,68.18,81.27
"Gpr68",0.16,0.55,0.96,0.34,0,0.03,0.03,0,0.32,0.09,0.14,0.45,0.08
"Rexo1",12,21.45,25.77,17.13,30.82,41.85,28.24,24.32,25.49,28.32,22.49,34.22,40.37
"Cmya5",0,0,0,0,0,0,0,0.04,0.04,0.06,0.09,0.12,0.06
"Fam180a",0,0,0,0,0,0,0,0,0,0,0.09,0.37,0.31
"AI837181",25.53,29.8,33.17,27.02,27.4,60.72,36.57,41.55,43.95,54.34,45.21,77.15,82.33
