"","ESC_Rep1","ESC_Rep2","Epi_Rep1","Epi_Rep2","Meso_Rep2","OSC-D7_Rep1","OSC-D7_Rep2","OSC-D8_Rep1","OSC-D8_Rep2","OSC-D9_Rep1","OSC-D9_Rep2","OSC-D10_Rep1","OSC-D10_Rep2"
"Adra1a",0,0,0,0,0,11,2,6,3,4,10,4,5
"Pcdhb8",1,0,0,2,0,35,37,77,60,115,85,85,78
"Pam16l",129,80,184,146,32,67,31,15,13,85,7,35,29
"Paip2b",1552,2243,2095,2781,1768,1569,1712,1433,1233,1787,1753,1387,913
"Npas4",0,0,0,1,0,2,0,2,0,2,1,1,1
"C2cd4c",6,8,40,41,9,14,17,15,6,21,30,34,37
"Ccdc42",0,0,4,6,0,64,67,16,22,14,12,9,5
"Tmem268",141,232,204,228,285,244,214,136,101,120,88,124,69
"Clec14a",0,0,2,0,2,78,132,51,56,60,92,49,56
"Ifit2",11,7,67,61,18,89,122,173,143,218,198,185,91
"Mtmr11",17,18,77,46,120,314,234,369,260,501,446,423,315
"Mrps12",973,1123,1081,1117,487,646,511,582,369,615,475,593,425
"Cavin2",0,0,5,4,0,346,594,742,583,1588,1242,1297,879
"Wnk1",3640,7562,6762,6344,8103,10244,8578,9307,6916,9386,9951,7539,5016
"Gpr158",0,0,0,1,0,1,1,1,0,3,0,6,6
"Teddm2",0,2,8,4,10,12,15,18,12,13,15,4,7
"Ing1",1200,1565,2097,2051,1134,2012,1792,1867,1234,2160,1426,1458,995
"Slc25a51",508,738,1186,1495,1402,2190,2148,1762,1370,1982,2122,1849,1213
"C2cd2",273,479,294,341,400,530,606,678,529,895,912,774,576
"Tmem104",300,408,321,280,293,596,370,552,330,687,622,760,516
"Eif4g1",14253,19759,28054,28523,15726,16538,17012,13588,10910,15259,16073,14721,9250
"Onecut2",10,22,19,15,29,125,73,82,53,163,128,267,121
"B3gat1",0,0,6,13,0,17,11,30,3,110,30,163,23
"Polr2k",444,321,570,912,534,276,470,415,374,359,372,192,171
"Naa11",130,166,100,172,0,8,0,2,1,2,3,11,5
"Gapt",0,0,0,0,0,0,0,0,0,0,1,0,0
"Pnlip",0,2,2,4,0,19,22,27,43,22,49,11,16
"Zfp830",562,443,762,702,654,784,871,1033,672,942,890,753,418
"Pofut1",569,965,644,750,758,1579,1415,1430,1174,2080,2029,2150,1549
"Stard5",218,304,497,515,285,186,353,294,271,372,386,300,208
"Calhm6",21,15,34,28,1,0,1,0,3,0,0,1,0
"Snx12",608,1128,1079,1337,1021,1591,1265,1245,943,1401,1316,1256,813
"Otulin",464,606,650,794,345,486,373,414,271,615,444,505,325
"Sbsn",1,2,6,4,27,46,40,21,28,24,53,39,24
"Eid2",431,590,402,589,447,731,645,658,416,902,739,801,576
"Ppp1r15b",2208,4276,3459,4694,3820,3299,3427,2787,2112,2930,3365,2653,1700
"Igfals",47,97,48,49,16,0,4,2,0,5,3,0,1
"Lrrc8d",1023,1999,3127,3232,555,1092,753,933,646,1053,916,1020,667
"Clec9a",0,0,0,0,0,0,2,0,0,0,0,0,0
"Tmem174",0,0,0,0,0,0,0,0,0,0,0,0,1
"Hpcal4",3,27,69,73,0,4,12,8,17,8,18,26,22
"Mosmo",202,383,445,477,763,747,680,742,486,909,825,671,386
"Mcmdc2",28,20,15,15,8,6,0,3,2,0,2,3,2
"Il17c",0,0,1,0,0,1,0,1,0,0,0,0,0
"Serinc4",3,0,0,0,3,14,7,8,10,9,6,5,3
"Cep295",529,894,1465,1548,1007,1027,1090,1203,888,1061,1174,862,473
"C130073F10Rik",97,108,12,15,2,3,0,0,0,6,0,3,0
"Patl1",893,1835,970,945,1522,1603,1361,1090,837,1503,1103,1192,791
"Fut10",105,127,131,108,300,548,490,570,443,639,568,604,349
"Tmem229b",221,338,145,239,43,264,141,243,187,435,335,587,291
"Chrm3",1,2,2,0,10,69,39,393,87,270,108,154,117
"Olig1",510,955,317,277,5,0,0,0,0,3,0,2,6
"Gldn",0,0,0,2,279,1,1,0,0,0,13,0,2
"Kcnrg",4,9,0,6,4,9,4,2,5,4,4,8,2
"Adamts6",1,0,1,5,19,95,61,124,90,273,237,310,144
"Pabpc6",11,20,5,15,0,0,0,1,0,3,0,0,0
"Nxph1",0,0,0,0,0,3,1,15,0,14,15,27,11
"E2f8",493,975,1355,1392,262,893,747,526,531,812,769,726,489
"Magea13",78,252,3,14,0,1,1,0,5,3,0,1,0
"Gsg1l",4,1,0,0,0,48,35,392,293,717,484,508,383
"Zfp84",369,431,269,348,324,613,725,790,613,823,948,642,385
"Cd109",232,212,68,94,42,90,112,83,80,99,102,108,81
"Pcdhb20",1,1,0,6,0,388,333,551,376,650,525,559,369
"Iqub",3,4,8,2,0,1,0,9,3,2,2,0,0
"Ttc39d",0,0,4,0,0,4,3,12,7,10,4,2,4
"Scaf8",1536,2258,2201,2713,1700,2652,2371,2758,1935,2978,2725,2564,1501
"Pnma2",104,97,400,437,66,53,30,212,146,428,400,367,248
"Pik3r6",2,7,2,2,0,14,12,6,4,12,9,3,9
"Cym",0,0,0,0,1,0,0,3,0,64,40,1055,221
"Rprml",3,0,22,13,0,0,0,0,0,3,3,3,1
"Plaur",42,51,105,154,22,50,95,26,37,37,56,57,36
"Scand1",418,456,647,683,426,1200,771,1191,808,1200,1096,1290,940
"Vps13a",458,1072,796,1312,488,632,704,529,420,538,709,488,383
"Hepacam",2,1,1,3,2,3,0,3,4,4,4,5,4
"Pilra",0,0,0,0,0,0,0,1,0,0,0,0,0
"Pramel29",0,0,1,0,0,0,0,0,0,0,0,0,2
"Usp27x",93,123,208,253,139,225,326,335,277,403,369,318,218
"Trarg1",0,2,0,1,0,0,1,0,0,4,0,2,4
"She",198,431,93,141,284,113,276,172,279,271,322,261,190
"Pnma3",8,13,39,49,7,38,5,23,11,22,20,28,3
"Ankle1",91,164,181,156,25,69,47,86,45,105,102,117,107
"Zfp62",216,379,482,705,1001,1595,1805,2464,1523,2446,1805,1612,773
"Myorg",795,1557,182,186,105,257,323,174,264,250,375,401,252
"Stxbp6",34,39,455,383,98,1019,1036,433,380,411,424,396,230
"Ccbe1",46,50,19,19,1,23,64,32,75,132,168,151,99
"Hs3st2",0,0,0,0,0,9,4,34,7,89,34,110,43
"Dppa3",1983,1358,220,396,5,19,6,24,9,56,18,56,7
"Ermp1",1371,2239,3353,4372,1032,1499,1275,1576,949,1625,1370,1386,735
"Slc25a23",292,635,944,1086,483,3604,2052,1349,895,1549,1263,1386,965
"Rpl37a",9100,9291,9702,14268,9206,8234,7571,6057,4985,8322,6179,5992,5163
"Fam178b",333,943,366,465,34,4,3,13,8,17,4,11,5
"Gpat2",434,808,1443,1610,166,300,191,286,131,257,199,234,143
"Smco1",2,0,0,0,0,1,0,0,0,0,2,0,0
"Zfp322a",301,390,433,568,647,1094,1775,1475,1045,1381,1475,1023,513
"Gjb2",0,8,160,128,113,16,16,20,33,13,33,31,45
"Rpl27a",8900,8242,10117,12722,10087,5547,8293,6406,4391,5081,7014,4505,4293
"Mgat4e",8,17,33,32,1,1,0,1,0,1,0,0,0
"Asphd1",0,0,20,11,0,2,0,5,1,14,5,23,7
"Jrk",87,189,235,306,168,522,433,547,404,673,464,465,295
"Pcdhb17",0,0,1,0,1,297,248,323,304,434,409,401,269
"Rbp1",171,248,187,176,85,2137,2625,1334,1387,2002,2707,2979,2460
"Yod1",32,62,73,55,153,227,129,245,203,258,266,230,124
"1700067K01Rik",5,14,6,12,1,0,2,0,0,0,0,0,0
"Kcnk6",44,78,204,233,17,25,39,22,33,73,140,113,87
"Lrrc75a",80,140,124,94,103,815,469,718,358,739,639,660,444
"Bex3",5497,5988,7949,8427,6821,10658,10228,11071,6807,10961,6161,7429,4380
"Hnrnpa1",29550,31504,41785,54383,25781,41296,44136,36233,28848,31879,34936,23590,16488
"Pramel24",3,1,10,3,1,2,0,3,0,0,2,11,3
"Cmtr2",253,293,356,337,227,487,331,366,221,407,317,345,172
"Ppm1e",18,35,54,41,21,66,39,104,59,192,127,186,97
"Camk2n1",116,191,54,58,59,518,604,641,555,975,1197,1152,960
"Nexmif",871,1364,818,1246,11,53,31,84,60,194,209,229,104
"Tmem150b",0,0,0,0,1,0,0,0,0,3,1,0,0
"Sh2d7",0,0,1,1,0,0,0,0,5,3,0,2,0
"Sox18",4,32,25,24,5,91,234,93,133,142,213,96,223
"Scn4b",5,2,5,2,2,0,5,0,0,0,7,2,6
"Rnf222",0,0,12,0,0,0,4,0,1,3,3,0,2
